Designator,Mid X,Mid Y,Rotation,Layer
C1,270.5,-95.75,0.0,top
D1,334.0608,-27.7368,180.0,top
D10,292.104973,-39.689,180.0,top
D11,277.904973,-39.833,180.0,top
D12,254.003975,-40.894,180.0,top
D13,234.953975,-42.064997,180.0,top
D14,215.902988,-51.591999,180.0,top
D15,330.205971,-63.5,180.0,top
D16,311.154972,-63.491997,180.0,top
D17,292.104974,-58.734998,180.0,top
D18,277.90547,-58.871996,180.0,top
D19,254.003978,-58.739,180.0,top
D2,313.25,-27.75,180.0,top
D20,234.953975,-61.111996,180.0,top
D21,215.90299,-70.641999,180.0,top
D22,330.205971,-82.541997,180.0,top
D23,311.154972,-82.541997,180.0,top
D24,292.104974,-77.784998,180.0,top
D25,277.904973,-77.921996,180.0,top
D26,254.003978,-77.780996,180.0,top
D27,234.953975,-80.157998,180.0,top
D28,243.935416,-103.017743,195.0,top
D29,232.519736,-111.515335,120.0,top
D3,296.164,-22.098,180.0,top
D30,216.02576,-121.040041,120.0,top
D31,264.75,-96.75,180.0,top
D4,274.448,-20.828,180.0,top
D5,257.25,-23.0,180.0,top
D6,236.728,-25.654,180.0,top
D7,215.903977,-32.539999,180.0,top
D8,330.205971,-44.45,180.0,top
D9,311.155971,-44.45,180.0,top
J1,215.509999,-95.196399,90.0,top
J3,211.2772,-103.627,0.0,top
J4,279.5,-96.75,90.0,top
J5,215.391999,-20.574,180.0,top
LED1,330.205971,-39.925,180.0,top
LED10,292.104974,-54.209998,180.0,top
LED11,273.054973,-51.833,180.0,top
LED12,254.003975,-54.209998,180.0,top
LED13,234.953975,-56.589997,180.0,top
LED14,215.902988,-66.116999,180.0,top
LED15,330.205971,-78.016997,180.0,top
LED16,311.154972,-78.016997,180.0,top
LED17,292.104974,-73.259998,180.0,top
LED18,273.054973,-70.875995,180.0,top
LED19,254.003978,-73.255996,180.0,top
LED2,311.155971,-39.925,180.0,top
LED20,234.953975,-75.636996,180.0,top
LED21,215.902988,-85.166999,180.0,top
LED22,330.205971,-97.063994,180.0,top
LED23,311.154975,-97.066997,180.0,top
LED24,292.104974,-92.309998,180.0,top
LED25,273.054973,-89.921996,180.0,top
LED26,254.003978,-92.302996,180.0,top
LED27,234.953975,-94.682998,180.0,top
LED28,247.694762,-117.047815,195.0,top
LED29,219.940717,-118.777835,120.0,top
LED3,292.104973,-35.164,180.0,top
LED30,203.442714,-128.300832,120.0,top
LED4,273.054973,-32.783,180.0,top
LED5,254.003975,-35.164,180.0,top
LED6,234.953975,-37.543999,180.0,top
LED7,215.902988,-47.066999,180.0,top
LED8,330.205971,-58.975,180.0,top
LED9,311.155971,-58.975,180.0,top
R2,336.75,-95.5,90.0,top
SW1,283.21,-22.606,0.0,top
SW2,232.434,-19.812,180.0,top
SW3,260.096,-103.964201,0.0,top
