Designator,Footprint,Quantity,Value,LCSC Part #
C1,Capacitor_0603,1,4.7uF,C19666
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",D_SOD-123,30,1N4148W,
D31,D_SMA,1,1N4001,C727079
J1,Connector_1x02_JST-PH,1,Conn_01x02,C295747
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED4, LED5, LED6, LED7, LED8, LED9",SK6803_MINI-E_v3.5.5_1,30,SK6803 MINI-E,C5242955
R2,Resistor_0402,1,500,C20607727
SW1,SW_SPST_TL3342,1,SW_Push,C115351
"SW2, SW3",SW_SPDT_Shouhan_MSK12C02,2,SW_SPDT,C963206
